"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-52.23798,-55.88737,164.8972,-5.39824,2.20378,0.8879
-52.23798,-55.88737,164.8972,-5.39824,2.20378,0.8879
-52.20322,-55.85402,155.46211,-9.45468,0,0.96682
-52.20322,-55.85402,163.29691,-8.10401,0,0.95231
-52.16845,-55.82067,176.09927,-13.51777,-2.20395,0.78539
-52.16845,-55.82067,161.12984,-6.75888,2.20395,0.95766
-52.16845,-55.82067,164.8972,-5.40711,2.20395,0.88794
-52.16845,-55.82067,164.8972,-5.40711,2.20395,0.88794
-52.16307,-55.8155,181.97528,-8.10698,1.65202,0.72829
-52.16307,-55.8155,168.27338,-8.10698,1.65202,0.7839
-52.1337,-55.78733,155.46211,-9.47019,0,0.96619
-52.1337,-55.78733,161.12984,-6.76442,0,0.95724
-52.11094,-55.76549,142.29475,-7.10233,-1.65211,0.8704
-52.11094,-55.76549,136.74399,-11.1608,-1.65211,0.85323
-52.09895,-55.75398,155.46211,-9.47795,-2.20412,0.96492
-52.09895,-55.75398,164.8972,-5.41597,2.20412,0.88565
-52.09895,-55.75398,164.8972,-5.41597,2.20412,0.88565
-52.06421,-55.72064,161.12984,-6.7755,0,0.95607
-52.06421,-55.72064,164.86386,-4.0653,0,0.88199
-52.06421,-55.72064,164.86386,-4.0653,0,0.88199
-52.02947,-55.68729,176.13261,-14.91826,2.20429,0.76988
-52.02947,-55.68729,155.46211,-9.49344,-2.20429,0.96304
-52.02947,-55.68729,161.12984,-6.78103,-2.20429,0.9539
-52.02947,-55.68729,163.23022,-5.42482,-2.20429,0.94522
-52.02947,-55.68729,164.86386,-4.06862,-2.20429,0.87621
-52.02947,-55.68729,164.86386,-4.06862,-2.20429,0.87621
-51.98069,-55.64046,182.00027,-9.15955,0,0.74892
-51.98069,-55.64046,168.24837,-7.12409,0,0.77748
-51.96001,-55.6206,176.13261,-14.94258,2.20447,0.75094
-51.96001,-55.6206,155.49545,-10.86733,-2.20447,0.96008
-51.96001,-55.6206,161.0965,-5.43367,-2.20447,0.95088
-51.96001,-55.6206,164.86386,-4.07525,-2.20447,0.86744
-51.96001,-55.6206,164.86386,-4.07525,-2.20447,0.86744
-51.92528,-55.58725,176.13261,-14.95473,0,0.72459
-51.89057,-55.55391,155.49545,-10.885,-2.20464,0.95558
-51.89057,-55.55391,161.06316,-4.08188,-2.20464,0.94624
-51.89057,-55.55391,164.83052,-2.72125,-2.20464,0.85519
-51.89057,-55.55391,164.83052,-2.72125,-2.20464,0.85519
-51.8505,-55.51542,142.34477,-9.18748,-1.65259,0.86147
-51.8505,-55.51542,136.769,-12.24998,-1.65259,0.84423
-51.82115,-55.48722,155.46211,-9.53982,-2.20481,0.9494
-51.82115,-55.48722,161.02982,-2.72566,-2.20481,0.94052
-51.82115,-55.48722,164.79718,-1.36283,-2.20481,0.84262
-51.82115,-55.48722,164.79718,-1.36283,-2.20481,0.84262
-51.82115,-55.48722,163.1302,-1.36283,-2.20481,0.92848
-51.79845,-55.46541,181.97528,-8.17657,-1.65269,0.7507
-51.79845,-55.46541,168.22337,-6.13243,-1.65269,0.77205
-51.75175,-55.42053,155.36211,-5.46014,-2.20498,0.94224
-51.75175,-55.42053,164.76384,0,-2.20498,0.83236
-51.75175,-55.42053,164.76384,0,-2.20498,0.83236
-51.75175,-55.42053,160.96313,0,-2.20498,0.93412
-51.68237,-55.35383,155.29543,-2.73448,-2.20515,0.93455
-51.68237,-55.35383,160.96313,0,-2.20515,0.92631
-51.68237,-55.35383,164.7305,1.36724,-2.20515,0.82368
-51.68237,-55.35383,164.7305,1.36724,-2.20515,0.82368
-51.61302,-55.28714,155.26208,-1.36944,-2.20532,0.9256
-51.61302,-55.28714,163.09686,0,-2.20532,0.89949
-51.61302,-55.28714,160.96313,0,-2.20532,0.91598
-51.61302,-55.28714,164.7305,1.36944,-2.20532,0.81526
-51.61302,-55.28714,164.7305,1.36944,-2.20532,0.81526
-51.59036,-55.26535,142.41978,-12.32425,-1.65307,0.82093
-51.59036,-55.26535,181.97528,-8.21616,-1.65307,0.73807
-51.59036,-55.26535,168.22337,-6.16212,-1.65307,0.834
-51.54368,-55.22045,165.8307,0,-2.20549,0.8932
-51.54368,-55.22045,160.96313,0,-2.20549,0.90402
-51.54368,-55.22045,155.22874,0,-2.20549,0.91542
-51.54368,-55.22045,164.7305,1.37164,-2.20549,0.80932
-51.54368,-55.22045,164.7305,1.37164,-2.20549,0.80932
-51.47437,-55.15376,164.76384,0,-2.20566,0.81009
