"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-59.3186,-62.57826,178.49986,6.17809,-1.10069,0.87684
-59.3186,-62.57826,174.83286,6.17809,-1.10069,0.86713
-59.3186,-62.57826,159.5481,11.23289,-1.10069,0.7181
-59.28281,-62.54492,132.02888,5.06073,-1.10083,0.56985
-59.28281,-62.54492,138.79619,6.18533,-1.10083,0.50351
-59.28281,-62.54492,128.52856,9.55915,1.10083,0.97067
-59.28281,-62.54492,126.61172,6.74763,-1.10083,0.7451
-59.28281,-62.54492,178.49986,6.18481,-1.10073,0.86098
-59.28281,-62.54492,159.53143,11.80737,-1.10073,0.71995
-59.28281,-62.54492,177.33308,6.18481,-1.10073,0.85823
-59.24703,-62.51158,130.76212,3.9404,-1.10087,0.59627
-59.24703,-62.51158,133.4957,6.19205,-1.10087,0.55278
-59.24703,-62.51158,128.51189,10.13245,1.10087,0.97105
-59.24703,-62.51158,126.59505,7.31788,-1.10087,0.73356
-59.24703,-62.51158,178.49986,6.19153,-1.10077,0.83949
-59.24703,-62.51158,159.39809,16.32314,-1.10077,0.71798
-59.21125,-62.47824,131.79555,5.07172,-1.1009,0.54938
-59.21125,-62.47824,128.51189,10.14344,1.1009,0.97062
-59.21125,-62.47824,126.57838,7.88934,-1.1009,0.72273
-59.21125,-62.47824,178.51653,5.63477,-1.10081,0.81479
-59.21125,-62.47824,174.84953,5.63477,-1.10081,0.83248
-59.21125,-62.47824,159.39809,16.34085,-1.10081,0.71429
-59.21125,-62.47824,196.35152,0,-1.1009,0.95692
-59.17548,-62.4449,132.04556,4.51308,-1.10094,0.54446
-59.17548,-62.4449,128.51189,10.15443,1.10094,0.96996
-59.17548,-62.4449,178.5332,5.07679,-1.10085,0.78957
-59.17548,-62.4449,159.39809,16.35855,-1.10085,0.70517
-59.17548,-62.4449,177.34975,5.64088,-1.10085,0.81736
-59.17548,-62.4449,196.35152,0,-1.10094,0.95316
-59.15759,-62.42823,126.57838,7.90216,0,0.71546
-59.13971,-62.41156,130.76212,3.95322,-1.10098,0.57251
-59.13971,-62.41156,128.49522,10.73016,1.10098,0.96996
-59.13971,-62.41156,178.54987,4.51758,-1.10089,0.76509
-59.13971,-62.41156,159.39809,16.37624,-1.10089,0.69836
